film,naslov,leto,opis,trajanje,ocena_kritikov,oznaka,igralci,reziserji,zanri,drzave,teme,oznake
44,Missing,2023,"A young teen named June (Storm Reid) finds her nightmare confirmed when her mother (Nia Long) inexplicably vanishes while on a Colombian vacation with her boyfriend. When the authorities thwart her quest for answers, June then relies on the contemporary technology at her disposal to know the truth, encountering a web of secrets about her mother that she struggles to fathom. Nicholas D. Johnson and Will Merrick co-direct the standalone sequel to the 2018 film. Co-starring Daniel Henney and Ken Leung.",111,9,PG13,"['Tim Griffin', 'Ava Zaria Lee', 'Nia Long', 'Kimberly Cheng', 'Storm Reid', 'Ken Leung', 'Amy Landecker', 'Megan Suri', 'Lisa Yamada', 'Sharar Ali-Speakes', 'Jameel Shivji', 'Michael Segovia', 'Daniel Henney', 'Joaquim de Almeida', 'Lauren B. Mosley', 'Tracy Vilar', 'Viviana Salinas', 'Jhon Carlos Gomez Ortega', 'Briana McLean', 'Monica Bhatnagar', 'Roy Abramsohn', 'Danielle Nottingham', 'Thomas Barbusca', 'Esteban Dager', ""Sean O'Bryan"", 'Karina Noelle Castillo', 'Jasmin Savoy Brown', 'Zeke Alton', 'Billie Jordan', 'Dalila Ali Rajah', 'Jill Smith', 'Oscar Camacho', 'Scott Menville', 'Wolfie Trausch', 'Rick Chambers', 'Kelly Stables', 'Javier Grajeda', 'Mauricio Mendoza']",['Will Merrick'],"['Drama', 'Thriller']",['United States'],"['Keeping a Secret', 'Missing Persons', 'Mothers and Daughters']","['Adult Language', 'Adult Situations', 'Violence', 'Youth Substance Use']"
45,The Salesman,2016,"When a couple (Shahab Hosseini and Taraneh Alidoosti) are forced to vacate their collapsing upscale apartment building, a friend offers them a new space to live but doesn't relay that it was formerly inhabited by a prostitute. While home alone at night and taking a shower, the wife is attacked, and has difficulty coping in the aftermath. Amidst all this tumult, the couple rehearse their respective roles in a community production of Arthur Miller's Death of a Salesman.",125,9,PG13,"['Shahab Hosseini', 'Taraneh Alidoosti', 'Babak Karimi', 'Farid Sajjadi Hosseini', 'Mina Sadati', 'Maral Bani Adam', 'Mehdi Kooshki', 'Emad Emami', 'Shirin Aghakashi', 'Ehteram Boroumand', 'Mojtaba Pirzadeh', 'Sahra Asadollahe', 'Sam Valipour', 'Ehteram Borourmand']",['Asghar Farhadi'],"['Drama', 'Thriller', 'Romance']","['France', 'Iran']",['Dangerous Friends'],['Adult Situations']
46,Dr. Jekyll and Mr. Hyde,1932,"This first sound version of Robert Louis Stevenson's classic morality tale starred Fredric March as the kindly, philanthropic Dr. Jekyll, who makes the fatal mistake of delving into secrets that Man Should Never Know. Fascinated with the notion that within each man lurk impulses for both Good and Evil, Jekyll develops a drug to release the wickedness in himself. The result: the lecherous, lycanthropic Mr. Hyde (one has to keep reminding oneself that the handsome, soft-spoken March plays both roles; small wonder that he won the Academy Award). Jekyll is the honorable suitor of the virtuous Muriel Carew (Rose Hobart), while Hyde is the brutish pursuer of the sluttish ""Champagne Ivy"" Pearson (Miriam Hopkins, as sexy as she'd ever be in films). It isn't long before the kindly Jekyll is unable to control the wicked Hyde, with tragic results. Director Rouben Mamoulian could often seem like the Brian De Palma of his time, showing off like a first-year film student instead of telling a story. But Mamoulian's excesses work beautifully in Dr. Jekyll and Mr. Hyde, notably the dizzying first transformation scene (that heartbeat you hear on the soundtrack belongs to Mamoulian himself). Withdrawn from circulation when MGM refilmed the Stevenson novel in 1941, Dr. Jekyll and Mr. Hyde resurfaced in the early 1970s, albeit only in the heavily censored version prepared for the 1938 reissue. The current video version restores most of the missing scenes--including the famous opening reel, photographed from Jekyll's point of view with a subjective camera.",97,9,NR,"['Fredric March', 'Miriam Hopkins', 'Rose Hobart', 'Holmes Herbert', 'Edgar Norton', 'Halliwell Hobbes', 'Arnold Lucy', 'Tempe Pigott', 'G.L. McDonnell', 'Eric Wilton', 'Douglas Walton', 'John Rogers', 'Murdock MacQuarrie', 'Major Sam Harris', 'Pat Harmon', 'Boyd Irwin', 'Colonel MacDonnell', 'Tempe Piggott']",['Rouben Mamoulian'],"['Drama', 'Horror']",['United States'],"['Experiments Gone Awry', 'Mad Scientists', 'Split Personalities']","['Not For Children', 'Violence']"
47,After Yang,2021,"After Yang, directed by Kogonada, tells the tale of a future where robotic children are purchased as live-in babysitters. Jake (Colin Farrell) and Kyra (Jodie Turner-Smith) are the parents of Mika (Malea Emma Tjandrawidjaja). When Mika's beloved android companion Yang (Justin H. Min) malfunctions, Jake desperately searches for a way to repair him. Along the way, he discovers that his relationships with his wife and child have become distant. The journey takes him on a pathway of rediscovery, allowing him to close that distance and recapture the life that was passing before him.",96,8,PG,"['Colin Farrell', 'Jodie Turner-Smith', 'Malea Emma Tjandrawidjaja', 'Justin H. Min', 'Orlagh Cassidy', 'Haley Lu Richardson', 'Ritchie Coster', 'Sarita Choudhury', 'Clifton Collins Jr.', 'Ava DeMary', 'Adeline Kerns', 'Ansley Kerns', 'Lee Wong', 'Brett Dier', 'Eve Lindley', 'Nana Mensah', 'An-Li Bogan', 'Deborah Hedwall', 'Katie Honaker', 'Alberto Del Saz', 'Jesse Kovarsky', 'Marcella Lewis', 'Maria Majoli', 'Toni Melaas', 'Lily Ockwell', 'J.C. Shuster', 'Megan Williams']",['Kogonada'],"['Drama', 'Science Fiction']",['United States'],"['Adoption', 'Death of a Child', ""Discovering One's Heritage"", 'Robots and Androids']","['Adult Language', 'Adult Situations']"
48,The Philadelphia Story,1940,"We open on Philadelphia socialite C.K. Dexter Haven (Cary Grant) as he's being tossed out of his palatial home by his wife, Tracy Lord (Katharine Hepburn). Adding insult to injury, Tracy breaks one of C.K.'s precious golf clubs. He gallantly responds by knocking her down on her million-dollar keester. A couple of years after the breakup, Tracy is about to marry George Kittridge (John Howard), a wealthy stuffed shirt whose principal recommendation is that he's not a Philadelphia ""mainliner,"" as C.K. was. Still holding a torch for Tracy, C.K. is galvanized into action when he learns that Sidney Kidd (Henry Daniell), the publisher of <I>Spy Magazine</I>, plans to publish an exposé concerning Tracy's philandering father (John Halliday). To keep Kidd from spilling the beans, C.K. agrees to smuggle <I>Spy</I> reporter Macauley Connor (James Stewart) and photographer Elizabeth Imbrie (Ruth Hussey) into the exclusive Lord-Kittridge wedding ceremony. How could C.K. have foreseen that Connor would fall in love with Tracy, thereby nearly lousing up the nuptials? As it turns out, of course, it is C.K. himself who pulls the ""louse-up,"" reclaiming Tracy as his bride. A consistently bright, bubbly, witty delight, The Philadelphia Story could just as well have been titled ""The Revenge of Katharine Hepburn."" Having been written off as ""box-office poison"" in 1938, Hepburn returned to Broadway in a vehicle tailor-made for her talents by playwright Philip Barry. That property, of course, was The Philadelphia Story; and when MGM bought the rights to this sure-fire box-office success, it had to take Hepburn along with the package -- and also her veto as to who her producer, director, and co-stars would be. Her strategy paid off: after the film's release, Hepburn was back on top of the Hollywood heap. While she didn't win the Oscar that many thought she richly deserved, the little gold statuette was bestowed upon her co-star Stewart, perhaps as compensation for his non-win for 1939's Mr. Smith Goes to Washington. Donald Ogden Stewart (no relation to Jimmy) also copped an Oscar for Best Adapted Screenplay. The Philadelphia Story was remade in 1956 with a Cole Porter musical score as High Society.",112,10,NR,"['Katharine Hepburn', 'Cary Grant', 'James Stewart', 'Ruth Hussey', 'Roland Young', 'Virginia Weidler', 'John Halliday', 'Mary Nash', 'Henry Daniell', 'Lionel Pape', 'Rex Evans', 'Russ Clark', 'Hilda Plowright', 'Lita Chevret', 'Lee Phelps', 'David Clyde', 'Claude King', 'Robert de Bruce', 'Veda Buckland', 'Dorothy Fay', 'Florine McKinney', 'Helene Whitney', 'Hillary Brooke', 'John Howard', 'Claudette Colbert']",['George Cukor'],"['Comedy', 'Romance']",['United States'],"['Otherwise Engaged', 'Wedding Bells']",['Adult Situations']
49,La Traviata,1982,"Tenor Plácido Domingo and soprano Teresa Stratas star in director Franco Zeffirelli's lushly cinematic version of Verdi's opera La Traviata (""The Woman Gone Astray""), a story of doomed love in 1840s Paris. Violetta (Stratas), who is the mistress of a wealthy baron, hosts a lavish party to celebrate her improved health after a bout with tuberculosis. There she meets Alfredo (Domingo) and becomes smitten with him as he, she, and the guests join in the famous ""Drinking Song."" Violetta leaves the baron, and she and Alfredo move into a secluded country villa together, where they live happily for a while. But unknown to Alfredo, his father (baritone Cornell MacNeil) convinces Violetta that continuing her relationship with Alfredo will prevent Alfredo's sister from making a good marriage. With great sadness, Violetta decides that she must not only break permanently with Alfredo, she must keep him at a distance by returning to the baron. Misunderstanding her motives, Alfredo goes into a jealous rage that leads to tragic consequences.",112,10,G,"['Teresa Stratas', 'Cornell MacNeil', 'Alan Monk', 'Axelle Gall', 'Pina Cei', 'Maurizio Barbacini', 'Robert Sommer', 'Ricardo Oneto', 'Luciano Brizi', 'Tony Ammirati', 'Russell Christopher', 'Charles Antony', 'Geraldine Decker', 'Michael Best', 'Ferruccio Furlanetto', 'Ariel Bybee', 'Richard Vernon', 'Ekaterina Maksimova', 'Vladimir Vassiljev', 'Gabriella Borni', 'Renato Cestiè', 'Plácido Domingo', 'Dominique Journet']",['Franco Zeffirelli'],"['Musical', 'Drama', 'Music']",['Italy'],['Star-Crossed Lovers'],['Suitable for Children']
50,Sleep Tight,2011,"An embittered concierge at a Barcelona apartment building plots to make one happy-go-lucky resident completely miserable in this psychological thriller from [REC] and [REC 2] co-screenwriter/co-director Jaume Balagueró. Cesar (Alberto San Juan) is a wretched man who subsists on the pain of others. Though the residents rarely take notice of him, Cesar furtively observes every intimate detail of their lives, seething at the first signs of optimism and cheerfulness. Carefree tenant Clara King (Marta Etura) is far too perky for Cesar; the happier she gets, the deeper her doorman sinks into despair. In order for him to be happy, Cesar realizes, Clara will have to suffer. Though at first Cesar' plan to torment Clara from afar goes off without a hitch, things start to fall apart when the scheming doorman gets too confident for his own good. Just as Clara begins to suspect that her curious bad-luck streak may be coming to an end, however, Cesar summons all of his strength and resentment to deliver one last devastating blow.",102,8,NR,"['Luis Tosar', 'Marta Etura', 'Alberto San Juan', 'Pep Tosar', 'Petra Martínez', 'Carlos Lasarte', 'Margarita Roset', 'Iris Almeida']",['Jaume Balagueró'],"['Horror', 'Thriller']",['Spain'],"['Dangerous Attraction', 'Stalkers', 'Woman In Jeopardy']","['Brief Nudity', 'Sexual Situations']"
51,Athlete A,2020,"In 2016, just days before Team USA bagged multiple medals at the 2016 Rio Olympics, the Indianapolis Star ran a report on the alleged systemic sexual abuse that has taken a hold of gymnastics in America. Athlete A is a documentary that follows the investigations the journalists did in order to bring this case forward. Through interviews with athletes that have experienced the abuse first hand, such as Maggie Nichols, the film tells the story of the dedicated female gymnasts who fell victim to the men they thought were there for them. Directed by Bonni Cohen and Jon Shenk.",103,9,PG13,['Jen Sey'],"['Bonni Cohen', 'Jon Shenk']","['Sports & Recreation', 'Crime']",['United States'],['Fighting the System'],['Rape & Sexual Abuse']
52,Ten Modern Commandments,1927,"Originally titled 10 Modern Commandments, this sophisticated romantic comedy-drama was the third directorial effort by Dorothy Arzner -- not to mention her third picture of 1927. Unabashedly a ""woman's"" picture, this is the story of Kitten O'Day (Esther Ralston), a humble maidservant in her aunt's boarding house. Kitten falls for impoverished boarder Tod Gilbert (Neil Hamilton), a would-be composer who has yet to sell a song. Kitten takes it upon herself to visit the office of big-time Broadway producer Disbrow (Arthur Hoyt), immediately endearing herself to the man when she socks tempestuous stage star Sharon Lee (Jocelyn Lee) in the nose. Disbrow hires Kitten as a ""buffer"" between himself and the troublesome Sharon; in exchange, she entreats the producer to listen to Tod's compositions. Alas, Tod has by now moved out of the boarding house, so Disbrow is unable to sign him to a contract or secure a release for the use of his songs. Meanwhile, Disbrow's latest musical goes into rehearsal, with Kitten in the chorus. The other hoofers decide to have some fun with the show-biz naif by ""initiating"" her in the Ten Modern Commandments of Broadway -- all of which are ""Get Your Man!"" Putting up with the teasing, Kitten eventually ingratiates herself with her fellow chorines by once again punching out the show's star, the obstreperous Sharon Lee (Jocelyn Lee). And what of Tod? Hanging around at the stage door, still waiting for an interview with Disbrow, Tod is hired as a backstage piano tuner. Unaware that Kitten is a member of the cast, Tod works up enough gumption to invade the star's dressing room and demand a hearing of his tunes. He is deflected from this when he hears one of his compositions being played backstage -- a minor event which snowballs into a series of misunderstandings, culminating with Tod's mistaken belief that Kitten has succumbed to the Ten Modern Commandments and has become producer Disbrow's mistress. Kitten saves the day by strong-arming Sharon into performing Tod's songs in the show; by film's end, all is explained, all is forgiven, and everyone is happy.",69,6,[],"['Esther Ralston', 'Neil Hamilton', 'Maude Truax', 'Romaine Fielding', 'El Brendel', 'Jocelyn Lee', 'Arthur Hoyt', 'Roscoe Karns']",['Dorothy Arzner'],['Comedy Drama'],[],[],[]
53,The Day of the Jackal,1973,"In this involving political thriller, a secret French paramilitary organization plans to assassinate French President Charles De Gaulle (Adrien Cayla-Legrand) because of their disagreement with his policies during the Algerian War. They hire a professional killer, known only as ""The Jackal"" (Edward Fox). The police learn of the plot from an informer, and police investigator Lebel (Michel Lonsdale) cleverly pieces together the clues to the Jackal's identity. The complicated plot uses parallel editing to cross-cut between the details of the Jackal's preparations for the assassination and Lebel's efforts to find him before it is too late. Fred Zinnemann presents the story, faithfully adapted from the book by Frederick Forsyth, with precise, dramatic flair. Edward Fox is coldly alluring as the Jackal. Well acted and directed, Day of the Jackal is a tense and engrossing political thriller with a surprising ending.",140,9,PG,"['Edward Fox', 'Michaël Lonsdale', 'Alan Badel', 'Eric Porter', 'Terence Alexander', 'Michel Auclair', 'Tony Britton', 'Denis Carey', 'Adrien Cayla-Legrand', 'Maurice Denham', 'Cyril Cusack', 'Vernon Dobtcheff', 'Olga Georges-Picot', 'Barrie Ingham', 'Derek Jacobi', 'Jean Martin', 'Ronald Pickup', 'Anton Rodgers', 'Delphine Seyrig', 'Donald Sinden', 'Jean Sorel', 'David Swift', 'Timothy West', 'Jacques Alric', 'Edmond Barnard', 'Maurice Teynac', 'Nicolas Vobel', 'Jacques François', 'Raymond Gérôme', 'Michael Lonsdale', 'Bernard Archard', 'Colette Bergé', 'Edmond Bernard', 'Gérard Buhr', 'Philippe Léotard', 'Nicole Desailly', 'Féodor Atkine', 'Jean Champion', 'Andréa Ferréol', 'Terry Alexander', 'Van Doude', 'Nicolas Vogel', 'Edward Hardwicke']","['Fred Zinnemann', 'Alan Badel', 'Cyril Cusack', 'Maurice Denham', 'Tony Britton', 'Vernon Dobtcheff']","['Mystery', 'Drama', 'Thriller']","['France', 'United Kingdom']","['Assassination Plots', 'Hired Killers', 'Conspiracies', 'Terrorism']",['Violence']
54,Chinatown,1974,"""You may think you know what you're dealing with, but believe me, you don't,"" warns water baron Noah Cross (John Huston), when smooth cop-turned-private eye J.J. ""Jake"" Gittes (Jack Nicholson) starts nosing around Cross's water diversion scheme. That proves to be the ominous lesson of Chinatown, Roman Polanski's critically lauded 1974 revision of 1940s film noir detective movies. In 1930s Los Angeles, ""matrimonial work"" specialist Gittes is hired by Evelyn Mulwray (Faye Dunaway) to tail her husband, Water Department engineer Hollis Mulwray (Darrell Zwerling). Gittes photographs him in the company of a young blonde and figures the case is closed, only to discover that the real Mrs. Mulwray had nothing to do with hiring Gittes in the first place. When Hollis turns up dead, Gittes decides to investigate further, encountering a shady old-age home, corrupt bureaucrats, angry orange farmers, and a nostril-slicing thug (Polanski) along the way. By the time he confronts Cross, Evelyn's father and Mulwray's former business partner, Jake thinks he knows everything, but an even more sordid truth awaits him. When circumstances force Jake to return to his old beat in Chinatown, he realizes just how impotent he is against the wealthy, depraved Cross. ""Forget it, Jake,"" his old partner tells him. ""It's Chinatown."" Reworking the somber underpinnings of detective noir along more pessimistic lines, Polanski and screenwriter Robert Towne convey a '70s-inflected critique of capitalist and bureaucratic malevolence in a carefully detailed period piece harkening back to the genre's roots in the 1930s and '40s. Gittes always has a smart comeback like Humphrey Bogart's Sam Spade and Philip Marlowe, but the corruption Gittes finds is too deep for one man to stop. Other noir revisions, such as Robert Altman's The Long Goodbye (1973) and Arthur Penn's Night Moves (1975), also centered on the detective's inefficacy in an uncertain '70s world, but Chinatown's period sheen renders this dilemma at once contemporary and timeless, pointing to larger implications about the effects of corporate rapaciousness on individuals. Polanski and Towne clashed over Chinatown's ending; Polanski won the fight, but Towne won the Oscar for Best Screenplay. Chinatown was nominated for ten other Oscars, including Picture, Director, Actor, Actress, Cinematography, Art Direction, Costumes, and Score.",130,10,R,"['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry López', 'Diane Ladd', 'John Hillerman', 'Roman Polański', 'Darrell Zwerling', 'Roy Jenson', 'Richard Bakalyan', 'Joe Mantell', 'Bruce Glover', 'Claudio Martinez', 'Nandu Hinds', ""James O'Rear"", 'James Hong', 'Beulah Quo', 'Jerry H. Fujikawa', 'Belinda Palmer', 'Roy Roberts', 'Noble Willingham', 'Elliott Montgomery', 'Rance Howard', 'Jim Burk', 'George Justin', 'Doc Erickson', 'Fritzi Burr', 'Charles Knapp', 'Frederico Roberto', 'Allan Warnick', 'Burt Young', 'Elizabeth Harding', 'John Rogers', 'Cecil Elliott', 'Paul Jenkins', ""James O'Reare"", 'Lee de Broux', 'Bob Golden', 'John Holland', 'Claudio Martínez', 'Jesse Vint', 'Jim Burke', 'Denny Arnold', 'Freddie Roberto', 'Jack Nickolson', 'John Alzono Alzono', 'C.O. Erickson', 'Federico Roberto', 'Robert Towne', 'John A. Alonzo', 'Jerry Goldsmith']",['Roman Polański'],"['Drama', 'Mystery']",['United States'],"['Private Eyes', 'Haunted By the Past', 'Conspiracies', 'Crumbling Marriages', 'Femmes Fatales', 'Keeping a Secret', 'Scandals and Cover-Ups', 'Star Detectives']",['Not For Children']
55,On the Town,1949,"Three sailors on a 24-hour pass -- Gabey (Gene Kelly), Chip (Frank Sinatra), and Ozzie (Jules Munshin) -- decide to soak up the sights and sounds of New York. Each one finds romance within those 24 hours: Gabey with aspiring dancer Ivy Smith (Vera-Ellen), Chip with lady cabbie Hildy Esterhazy (Betty Garrett), and Ozzie with paleontology student Claire Huddesten (Ann Miller). That's all, right? Wellll....Ivy passes herself off as a celebrity, but she's actually a kootch dancer in Coney Island. Claire and the boys inadvertently topple a dinosaur replica at the Museum of Anthropological History. And Hildy breaks any number of speeding laws attempting to get the lovers together and straighten out all misunderstandings. Adapted from the Broadway musical by Betty Comden, Adolph Green, and Leonard Bernstein, On the Town is one of the freshest, most exhilarating musicals turned out by the old MGM regime. The stars' verve and camaraderie are contagious, and the songs are staged by legendary musical director Stanley Donen and Kelly himself with wit and innovation. Highlights include the opening ""New York, New York"" number, shot on location and flat-cutting from one image to another at a dizzying pace, and Gene Kelly and Vera-Ellen's """"Miss Turnstyles Ballet.""""",98,10,NR,"['Gene Kelly', 'Frank Sinatra', 'Ann Miller', 'Vera-Ellen', 'Betty Garrett', 'Jules Munshin', 'Florence Bates', 'Alice Pearce', 'George Meader', 'Bern Hoffman', 'Lester Dorr', 'Bea Benaderet', 'Walter Baldwin', 'Don Brodie', 'Sid Melton', 'Robert B. Williams', 'Tom Dugan', 'Murray Alper', 'Hans Conried', 'Claire Carleton', 'Dick Wessel', ""William 'Bill' Phillips"", 'Frank Hagney', 'Carol Haney', 'Eugene Borden', 'Walter S. Baldwin', 'Frank S. Hagney', 'Judy Holliday', 'Alex Romero', 'Jules Mustin']","['Stanley Donen', 'Gene Kelly']","['Musical', 'Comedy', 'Romance']",['United States'],['Vacation Romances'],['Suitable for Children']
56,Goldfinger,1964,"With Goldfinger, the James Bond series took a turn away from relatively straightforward spy thrillers and toward campy gadgetry, extravagant sets, and kitschy jokes. Bond (Sean Connery) has to prevent a notorious gold smuggler, appropriately named Goldfinger (Gert Fröbe), from robbing Fort Knox. Goldfinger is surrounded by evil henchmen such as the sexy female pilot Pussy Galore (Honor Blackman) and Oddjob (Harold Sakata), who kills with his steel-rimmed bowler hats. In order to stop Goldfinger, Bond has to survive several perilous situations, including a huge, deadly laser. Goldfinger is one of the most popular films in the James Bond series, and it set the tone not only for the rest of the series but also for most of the action/adventure films of the late '60s and early '70s.",112,10,PG,"['Sean Connery', 'Honor Blackman', 'Shirley Eaton', 'Tania Mallet', 'Harold Sakata', 'Cec Linder', 'Bernard Lee', 'Desmond Llewelyn', 'Lois Maxwell', 'Martin Benson', 'Nadja Regin', 'Austin Willis', 'Bill Nagy', 'Alf Joint', 'Varley Thomas', 'Raymond Young', 'Richard Vernon', 'Denis Cowles', 'Michael Mellinger', 'Burt Kwouk', 'Hal Galili', 'Lenny Rabin', 'Gert Fröbe', 'Shirley J. Eaton', 'Peter Cranwell', 'Mai Ling', 'Margaret Nolan', 'Robert MacLeod', 'Victor Brooks', 'Gerry Duggan', 'Peter Brace', 'Terence Brook', 'Anthony Chinn', 'Marian Collins', 'Caron Gardner', 'Lesley Hill', 'George Leech', 'Garry Marshall', 'Aleta Morrison', 'Tricia Muller', 'Paul Berardi', 'Gloria Best', 'John McLaren', 'Jane Lumb']",['Guy Hamilton'],"['Action', 'Adventure', 'Spy Film', 'Thriller']",['United Kingdom'],"['Heroic Mission', 'Race Against Time', 'Terrorism']","['Sexual Situations', 'Violence']"
57,A Fistful of Dollars,1964,"By the time Sergio Leone made this film, Italians had already produced about 20 films ironically labelled ""spaghetti westerns."" Leone approached the genre with great love and humor. Although the plot was admittedly borrowed from Akira Kurosawa's Yojimbo (1961), Leone managed to create a work of his own that would serve as a model for many films to come. Clint Eastwood plays a cynical gunfighter who comes to a small border town and offers his services to two rivaling gangs. Neither gang is aware of his double play, and each thinks it is using him, but the stranger will outwit them both. The picture was the first installment in a cycle commonly known as the ""Dollars"" trilogy. Later, United Artists, who distributed it in the U.S., coined another term for it: the ""Man With No Name"" trilogy. While not as impressive as its follow-ups For a Few Dollars More (1965) and The Good, the Bad, and the Ugly (1966), A Fistful of Dollars contains all of Leone's eventual trademarks: taciturn characters, precise framing, extreme close-ups, and the haunting music of Ennio Morricone. Not released in the U.S. until 1967 due to copyright problems, the film was decisive in both Clint Eastwood's career and the recognition of the Italian western.",96,8,R,"['Clint Eastwood', 'Gian Maria Volonté', 'Marianne Koch', 'Sieghardt Rupp', 'José Calvo', 'Wolfgang Lukschy', 'Antonio Prieto', 'Margarita Lozano', 'Bruno Carotenuto', 'Benito Stefanelli', 'Mario Brega', 'Josef Egger', 'Antonio Vica', 'Raf Baldassarre', 'Johannes Siedel', 'Carla Calò', 'John Wells', 'Gian Maria Volontè', 'Joe Egger', 'Daniel Martín', 'Aldo Sambrell', 'Luis Barboo', 'Frank Braña', 'José Canalejas', 'Juan Cortés', 'Álvaro de Luna', 'Niño del Arco', 'José Halufi', 'Frank Kalvow', 'Lee Miller', 'Antonio Molino Rojo', 'Antonio Moreno', 'Nazzareno Natale', 'José Orjas', 'Manuel Peña', 'Antonio Pica', 'Nosher Powell', 'Julio Pérez Tabernero', 'José Riesgo', 'Lorenzo Robledo', 'Enrique Santiago', 'Umberto Spadaro', 'Fernando Sánchez Polack', 'William R. Thompkins', 'Edmondo Tieghi', 'Antonio Vico', 'Joseph Egger', 'Dani Martín', 'Harry Dean Stanton', 'Enrico Maria Salerno', 'Carol Brown', 'Benny Reeves', 'Pepe Calvo', 'Richard Stuyvesant', 'John Wels', 'W. Lukschy']","['Sergio Leone', 'Monte Hellman']","['Action', 'Adventure', 'Western']","['Germany', 'Spain', 'Italy']","['Lone Wolves', 'Feuds', 'Sheriffs and Outlaws', 'Cons and Scams']","['Questionable for Children', 'Western Violence']"
58,Sabrina,1954,"Billy Wilder directs the lighthearted romantic comedy Sabrina, based on the play by Samuel A. Taylor. Sabrina Fairchild (Audrey Hepburn) is the simple, naïve daughter of a chauffeur, Thomas Fairchild (John Williams). They live on an estate with the wealthy Oliver Larrabee (Walter Hampden) and his two sons: workaholic older brother Linus (Humphrey Bogart) and fun-loving younger brother David (William Holden). Sabrina adores the charming David, but he thinks of her as just a kid. Her father sends her away to Paris for chef school, where she meets Baron St. Fontanel (Marcel Dalio), and she returns a worldly, sophisticated woman. David immediately falls for her, but he is already engaged to marry heiress Elizabeth Tyson (Martha Hyer). Sabrina wants to break up the wedding in order to finally catch the man of her dreams, while Linus fights to keep the marriage on in the interest of family business and Mr. Tyson's (Francis X. Bushman) fortune. In order to keep Sabrina away from David, Linus pretends to court her himself. In doing so, they eventually realize their true feelings for each another.",112,10,NR,"['Audrey Hepburn', 'William Holden', 'Humphrey Bogart', 'John Williams', 'Walter Hampden', 'Martha Hyer', 'Joan Vohs', 'Marcel Dalio', 'Marcel Hillaire', 'Nella Walker', 'Francis X. Bushman', 'Ellen Corby', 'Marjorie Bennett', 'Emory Parnell', 'Kay Riehl', 'Nancy Kulp', 'Kay E. Kuter', 'Paul Harvey', 'Emmett Vogan', 'Colin Campbell', 'Harvey Dunn', 'Marion Ross', 'Charles Harvey', 'Greg Stafford', 'Bill Neff', 'Otto Forrest', 'David Ahdar', 'Rand Harper', 'Raymond Bailey', 'Ralph Brooks', 'Fritz Ford', 'Chuck Hamilton', 'Sam Harris', 'Kay Kuter']",['Billy Wilder'],"['Comedy', 'Romance', 'Drama']",['United States'],"['Cinderella Stories', 'Unrequited Love', 'Love Triangles']",['Suitable for Children']
59,Broken Lance,1954,"In this Western with curiously Shakespearean undertones, Matt Devereaux (Spencer Tracy) is a ranch owner who has tried to raise his sons to carry on the fierce, hard-working spirit that helped make him a success. However, as a consequence, he never learned to show them affection and treats his boys little better than the hired help. Joe (Robert Wagner), is Matt's son by Native American wife Señora (Katy Jurado). Because of Joe's mixed ethnicity, he is treated prejudicially by his three half-brothers, Ben (Richard Widmark), Mike (Hugh O'Brian), and Danny (Earl Holliman) -- all Caucasian sons of Matt's first wife. Joe loves his father and would do nearly anything for him, but his siblings resent Matt's emotional distance. When Matt discovers a nearby copper mine is polluting a stream where he waters his cattle, he becomes furious and leads a raid on the mine that causes the law to visit the ranch; the police have a warrant to arrest whoever was responsible for the attack. To spare his father the agony and humiliation of a stay behind bars, Joe claims responsibility and spends several years in prison. When he's released, he discovers that Ben and his other brothers rebelled against their father with such extremity that the old man suffered a fatal stroke. While Señora tries to persuade Joe not to seek revenge, Ben is more than willing to fight his brother for taking his father's side. Screenwriter Philip Yordan won an Academy Award for his work on Broken Lance, while Katy Jurado received a Best Supporting Actress nomination for her performance as Señora.",96,8,NR,"['Spencer Tracy', 'Robert Wagner', 'Jean Peters', 'Richard Widmark', 'Katy Jurado', ""Hugh O'Brian"", 'Eduard Franz', 'Earl Holliman', 'E.G. Marshall', 'Carl Benton Reid', 'Philip Ober', 'Robert Burton', 'Robert Adler', 'Robert Grandin', 'Harry Carter', 'Nacho Galindo', 'Julian Rivero', 'Edmund Cobb', 'Russell Simpson', 'King Donovan', 'Jack Mather', 'George E. Stone', 'John Epper', 'Paul Kruger', 'James F. Stone', 'Rudy Bowman', 'Paul Bradley', 'John Breen', 'Arthur Q. Bryan', 'Roy Bucko', 'Bob Burrows', 'Heinie Conklin', 'Ben Corbett', 'Tex Driscoll', 'Art Felix', 'Robert Ivers', 'Roy Jenson', 'Ethan Laidlaw', 'Marco Lopez', 'Forbes Murray', 'James Stone']",['Edward Dmytryk'],"['Drama', 'Romance', 'Western']",['United States'],"['Fathers and Sons', 'Miscarriage of Justice', 'Sibling Relationships']",['Suitable for Children']
